state,year,quarter,suppression_used,total_prescriptions
nv,2019,3,FALSE,58
nv,2019,3,TRUE,0
nv,2019,4,FALSE,29
nv,2019,4,TRUE,0
nv,2020,1,NA,62
ny,2017,1,FALSE,1543
ny,2017,2,FALSE,1588
ny,2017,2,TRUE,0
ny,2017,3,FALSE,1721
ny,2017,4,FALSE,1623
ny,2018,1,FALSE,1686
ny,2018,2,FALSE,1658
ny,2018,3,FALSE,1633
ny,2018,4,FALSE,1645
ny,2019,1,FALSE,1699
ny,2019,2,FALSE,1424
ny,2019,3,FALSE,1135
ny,2019,3,TRUE,0
ny,2019,4,FALSE,1078
ny,2019,4,TRUE,0
ny,2020,1,NA,993
oh,2017,1,FALSE,891
oh,2017,2,FALSE,1173
oh,2017,3,FALSE,854
oh,2017,4,FALSE,845
oh,2018,1,FALSE,800
oh,2018,2,FALSE,878
oh,2018,3,FALSE,840
oh,2018,4,FALSE,808
oh,2019,1,FALSE,768
oh,2019,2,FALSE,741
oh,2019,3,FALSE,606
oh,2019,3,TRUE,0
oh,2019,4,FALSE,592
oh,2019,4,TRUE,0
oh,2020,1,NA,529
ok,2017,1,FALSE,57
ok,2017,2,FALSE,59
ok,2017,3,FALSE,67
ok,2017,4,FALSE,70
ok,2018,1,FALSE,64
ok,2018,2,FALSE,65
ok,2018,3,FALSE,62
ok,2018,4,FALSE,65
ok,2019,1,FALSE,72
ok,2019,2,FALSE,63
ok,2019,3,FALSE,42
ok,2019,3,TRUE,0
ok,2019,4,TRUE,0
ok,2020,1,NA,13
or,2017,1,FALSE,137
or,2017,1,TRUE,0
or,2017,2,FALSE,214
or,2017,2,TRUE,0
or,2017,3,FALSE,142
or,2017,3,TRUE,0
or,2017,4,FALSE,154
or,2017,4,TRUE,0
or,2018,1,FALSE,143
or,2018,1,TRUE,0
or,2018,2,FALSE,127
or,2018,2,TRUE,0
or,2018,3,FALSE,114
or,2018,3,TRUE,0
or,2018,4,FALSE,102
or,2018,4,TRUE,0
or,2019,1,FALSE,106
or,2019,1,TRUE,0
or,2019,2,FALSE,92
or,2019,2,TRUE,0
or,2019,3,FALSE,80
or,2019,3,TRUE,0
or,2019,4,FALSE,66
or,2019,4,TRUE,0
or,2020,1,NA,72
pa,2017,1,FALSE,371
pa,2017,1,TRUE,0
pa,2017,2,FALSE,542
pa,2017,2,TRUE,0
pa,2017,3,FALSE,408
pa,2017,3,TRUE,0
pa,2017,4,FALSE,392
pa,2017,4,TRUE,0
pa,2018,1,FALSE,386
pa,2018,1,TRUE,0
pa,2018,2,FALSE,407
pa,2018,2,TRUE,0
pa,2018,3,FALSE,407
pa,2018,3,TRUE,0
pa,2018,4,FALSE,431
pa,2018,4,TRUE,0
pa,2019,1,FALSE,434
pa,2019,1,TRUE,0
pa,2019,2,FALSE,365
pa,2019,2,TRUE,0
pa,2019,3,FALSE,283
pa,2019,3,TRUE,0
pa,2019,4,FALSE,274
pa,2019,4,TRUE,0
pa,2020,1,NA,258
ri,2017,1,FALSE,45
ri,2017,2,FALSE,49
ri,2017,3,FALSE,49
ri,2017,4,FALSE,42
ri,2018,1,FALSE,36
ri,2018,2,FALSE,40
ri,2018,3,FALSE,45
ri,2018,4,FALSE,43
ri,2019,1,FALSE,50
ri,2019,2,FALSE,39
ri,2019,3,FALSE,15
ri,2019,3,TRUE,0
ri,2019,4,FALSE,14
ri,2019,4,TRUE,0
ri,2020,1,NA,13
sc,2017,1,FALSE,118
sc,2017,1,TRUE,0
sc,2017,2,FALSE,137
sc,2017,2,TRUE,0
sc,2017,3,FALSE,130
sc,2017,3,TRUE,0
sc,2017,4,FALSE,129
sc,2017,4,TRUE,0
sc,2018,1,FALSE,147
sc,2018,1,TRUE,0
sc,2018,2,FALSE,146
sc,2018,2,TRUE,0
sc,2018,3,FALSE,136
sc,2018,3,TRUE,0
sc,2018,4,FALSE,105
sc,2018,4,TRUE,0
sc,2019,1,FALSE,125
sc,2019,1,TRUE,0
sc,2019,2,FALSE,113
sc,2019,2,TRUE,0
sc,2019,3,FALSE,65
sc,2019,3,TRUE,0
sc,2019,4,FALSE,71
sc,2019,4,TRUE,0
sc,2020,1,NA,81
sd,2017,1,FALSE,13
sd,2017,1,TRUE,0
sd,2017,2,FALSE,29
sd,2017,3,TRUE,0
sd,2017,4,TRUE,0
sd,2018,1,TRUE,0
sd,2018,2,TRUE,0
sd,2018,3,TRUE,0
sd,2018,4,TRUE,0
sd,2019,1,TRUE,0
sd,2019,2,TRUE,0
sd,2019,3,TRUE,0
sd,2019,4,TRUE,0
sd,2020,1,NA,0
tn,2017,1,FALSE,223
tn,2017,2,FALSE,233
tn,2017,3,FALSE,220
tn,2017,4,FALSE,222
tn,2018,1,FALSE,217
tn,2018,2,FALSE,218
tn,2018,3,FALSE,227
tn,2018,4,FALSE,229
tn,2019,1,FALSE,223
tn,2019,2,FALSE,171
tn,2019,3,FALSE,134
tn,2019,3,TRUE,0
tn,2019,4,FALSE,154
tn,2020,1,NA,159
tx,2017,1,FALSE,567
