state,year,quarter,gennme_c,suppression_used,total_prescriptions
ms,2017,3,Febuxostat,FALSE,73
ms,2017,3,Febuxostat,TRUE,0
ms,2017,4,Febuxostat,FALSE,69
ms,2017,4,Febuxostat,TRUE,0
ms,2018,1,Febuxostat,FALSE,73
ms,2018,1,Febuxostat,TRUE,0
ms,2018,2,Febuxostat,FALSE,60
ms,2018,2,Febuxostat,TRUE,0
ms,2018,3,Febuxostat,FALSE,65
ms,2018,3,Febuxostat,TRUE,0
ms,2018,4,Febuxostat,FALSE,58
ms,2018,4,Febuxostat,TRUE,0
ms,2019,1,Febuxostat,FALSE,59
ms,2019,1,Febuxostat,TRUE,0
ms,2019,2,Febuxostat,FALSE,46
ms,2019,2,Febuxostat,TRUE,0
ms,2019,3,Febuxostat,FALSE,24
ms,2019,3,Febuxostat,TRUE,0
ms,2019,4,Febuxostat,FALSE,22
ms,2019,4,Febuxostat,TRUE,0
ms,2020,1,Febuxostat,NA,21
mt,2017,1,Febuxostat,FALSE,61
mt,2017,2,Febuxostat,FALSE,68
mt,2017,3,Febuxostat,FALSE,70
mt,2017,4,Febuxostat,FALSE,88
mt,2018,1,Febuxostat,FALSE,68
mt,2018,2,Febuxostat,FALSE,86
mt,2018,3,Febuxostat,FALSE,88
mt,2018,4,Febuxostat,FALSE,101
mt,2019,1,Febuxostat,FALSE,88
mt,2019,2,Febuxostat,FALSE,94
mt,2019,3,Febuxostat,FALSE,88
mt,2019,3,Febuxostat,TRUE,0
mt,2019,4,Febuxostat,FALSE,64
mt,2019,4,Febuxostat,TRUE,0
mt,2020,1,Febuxostat,NA,54
nc,2017,1,Febuxostat,FALSE,772
nc,2017,2,Febuxostat,FALSE,646
nc,2017,3,Febuxostat,FALSE,767
nc,2017,4,Febuxostat,FALSE,643
nc,2018,1,Febuxostat,FALSE,691
nc,2018,2,Febuxostat,FALSE,582
nc,2018,3,Febuxostat,FALSE,640
nc,2018,4,Febuxostat,FALSE,544
nc,2019,1,Febuxostat,FALSE,623
nc,2019,2,Febuxostat,FALSE,461
nc,2019,3,Febuxostat,FALSE,530
nc,2019,3,Febuxostat,TRUE,0
nc,2019,4,Febuxostat,FALSE,410
nc,2019,4,Febuxostat,TRUE,0
nc,2020,1,Febuxostat,NA,246
nd,2017,1,Febuxostat,TRUE,0
nd,2017,2,Febuxostat,TRUE,0
nd,2017,3,Febuxostat,TRUE,0
nd,2017,4,Febuxostat,TRUE,0
nd,2018,1,Febuxostat,TRUE,0
nd,2018,2,Febuxostat,TRUE,0
nd,2018,3,Febuxostat,TRUE,0
nd,2018,4,Febuxostat,TRUE,0
nd,2019,1,Febuxostat,TRUE,0
nd,2019,2,Febuxostat,TRUE,0
nd,2019,3,Febuxostat,TRUE,0
nd,2019,4,Febuxostat,TRUE,0
nd,2020,1,Febuxostat,NA,0
ne,2017,1,Febuxostat,FALSE,21
ne,2017,1,Febuxostat,TRUE,0
ne,2017,2,Febuxostat,FALSE,19
ne,2017,2,Febuxostat,TRUE,0
ne,2017,3,Febuxostat,FALSE,31
ne,2017,4,Febuxostat,FALSE,32
ne,2018,1,Febuxostat,FALSE,26
ne,2018,1,Febuxostat,TRUE,0
ne,2018,2,Febuxostat,FALSE,28
ne,2018,2,Febuxostat,TRUE,0
ne,2018,3,Febuxostat,FALSE,23
ne,2018,3,Febuxostat,TRUE,0
ne,2018,4,Febuxostat,FALSE,22
ne,2018,4,Febuxostat,TRUE,0
ne,2019,1,Febuxostat,FALSE,25
ne,2019,1,Febuxostat,TRUE,0
ne,2019,2,Febuxostat,FALSE,17
ne,2019,2,Febuxostat,TRUE,0
ne,2019,3,Febuxostat,TRUE,0
ne,2019,4,Febuxostat,TRUE,0
ne,2020,1,Febuxostat,NA,0
nh,2017,1,Febuxostat,TRUE,0
nh,2017,2,Febuxostat,TRUE,0
nh,2017,3,Febuxostat,TRUE,0
nh,2017,4,Febuxostat,TRUE,0
nh,2018,1,Febuxostat,TRUE,0
nh,2018,2,Febuxostat,FALSE,14
nh,2018,3,Febuxostat,TRUE,0
nh,2018,4,Febuxostat,FALSE,17
nh,2019,1,Febuxostat,FALSE,19
nh,2019,1,Febuxostat,TRUE,0
nh,2019,2,Febuxostat,FALSE,12
nh,2019,2,Febuxostat,TRUE,0
nh,2019,3,Febuxostat,TRUE,0
nh,2019,4,Febuxostat,TRUE,0
nh,2020,1,Febuxostat,NA,0
nj,2017,1,Febuxostat,FALSE,371
nj,2017,1,Febuxostat,TRUE,0
nj,2017,2,Febuxostat,FALSE,427
nj,2017,2,Febuxostat,TRUE,0
nj,2017,3,Febuxostat,FALSE,416
nj,2017,3,Febuxostat,TRUE,0
nj,2017,4,Febuxostat,FALSE,393
nj,2017,4,Febuxostat,TRUE,0
nj,2018,1,Febuxostat,FALSE,384
nj,2018,1,Febuxostat,TRUE,0
nj,2018,2,Febuxostat,FALSE,368
nj,2018,2,Febuxostat,TRUE,0
nj,2018,3,Febuxostat,FALSE,350
nj,2018,3,Febuxostat,TRUE,0
nj,2018,4,Febuxostat,FALSE,338
nj,2018,4,Febuxostat,TRUE,0
nj,2019,1,Febuxostat,FALSE,316
nj,2019,1,Febuxostat,TRUE,0
nj,2019,2,Febuxostat,FALSE,320
nj,2019,2,Febuxostat,TRUE,0
nj,2019,3,Febuxostat,FALSE,261
nj,2019,3,Febuxostat,TRUE,0
nj,2019,4,Febuxostat,FALSE,224
nj,2019,4,Febuxostat,TRUE,0
nj,2020,1,Febuxostat,NA,195
nm,2017,1,Febuxostat,FALSE,91
nm,2017,1,Febuxostat,TRUE,0
nm,2017,2,Febuxostat,FALSE,86
nm,2017,2,Febuxostat,TRUE,0
nm,2017,3,Febuxostat,FALSE,96
nm,2017,4,Febuxostat,FALSE,76
nm,2017,4,Febuxostat,TRUE,0
nm,2018,1,Febuxostat,FALSE,92
nm,2018,1,Febuxostat,TRUE,0
nm,2018,2,Febuxostat,FALSE,78
nm,2018,2,Febuxostat,TRUE,0
nm,2018,3,Febuxostat,FALSE,90
nm,2018,3,Febuxostat,TRUE,0
nm,2018,4,Febuxostat,FALSE,64
nm,2019,1,Febuxostat,FALSE,64
